ITEM_SERIAL_NUMBER,COMMENTS,EMPLOYEE_WHO_FOUND_ISSUE,CHANGED_ON,RETURN_CODE,EMPLOYEE_WHO_CAUSED_ISSUE,PRODUCT,KEYWORDS
#5927833,A3: FOUND BETTER PRICE,581,4/18/2022,A3,638,TABLET,NO_KEYWORD
#5927833,A3: FOUND BETTER PRICE,581,4/18/2022,A3,174,TABLET,NO_KEYWORD
#5927833,A3: FOUND BETTER PRICE,581,4/18/2022,A3,201,TABLET,NO_KEYWORD
#5927833,A3: FOUND BETTER PRICE,581,4/18/2022,A3,638,TABLET,NO_KEYWORD
#5048042,A4: NO LONGER NEEDED,106,4/19/2022,A4,233,TABLET,NO_KEYWORD
#5048042,A4: NO LONGER NEEDED,106,4/19/2022,A4,201,TABLET,NO_KEYWORD
#5048042,A4: NO LONGER NEEDED,106,4/19/2022,A4,233,TABLET,NO_KEYWORD
#5048042,A4: NO LONGER NEEDED,106,4/19/2022,A4,233,TABLET,NO_KEYWORD
#2926022,A3: FOUND BETTER PRICE,106,4/18/2022,A3,638,TABLET,NO_KEYWORD
#2926022,A3: FOUND BETTER PRICE,106,4/18/2022,A3,638,TABLET,NO_KEYWORD
#2926022,A3: FOUND BETTER PRICE,106,4/18/2022,A3,174,TABLET,NO_KEYWORD
#2926022,A3: FOUND BETTER PRICE,106,4/18/2022,A3,638,TABLET,NO_KEYWORD
#2527216,A3: FOUND BETTER PRICE,106,4/18/2022,A3,174,TABLET,NO_KEYWORD